
İlaç Adı,Barkod,ATC Kodu,ATC Adı
"FLUTEL PLUS 137 MCG / 50 MCG BURUN SPREYI, SUSPANSIYON (120 DOZ) ",8680199540697,R01AD58,"fluticasone, combinations"
LOXIDOL 15 MG TABLET (10 TABLET),8680199032147,M01AC06,meloxicam
MICRO-FINE™ PLUS U-100 INSULIN 0.5ML 0.30MM (30G) x 8MM,382900933016,V07AY,Other non-therapeutic auxiliary products
MICRO-FINE™ PLUS U-100 INSULIN 1ML 0.30MM (30G) x 8MM,382900935010,V07AY,Other non-therapeutic auxiliary products
"NAZOBEC 100 MCG BURUN SPREYI, SUSPANSIYON (120 DOZ)",8680955540077,R01AD01,beclometasone
ILKSEF 1000 MG IM/IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU,8681281000235,J01DB04,cefazolin
SNOXX-MET 2.5 MG/850 MG FILM KAPLI TABLET,8699536093734,A10BD11,metformin and linagliptin 
SNOXX-MET 2.5 MG/1000 MG FILM KAPLI TABLET,8699536093741,A10BD11,metformin and linagliptin 
ILARIS 150 MG/ML ENJEKSIYONLUK COZELTI (1 ML x 1 FLAKON),8699504270075,L04AC08,canakinumab
VEKLURY 100 MG INFUZYONLUK COZELTI KONSANTRESI ICIN TOZ (1 FLAKON),8698760790327,J05AB16,remdesivir
LARICID 500 MG 14 FILM KAPLI TABLET,8699578092412,J01FA09,clarithromycin
KOATE-DVI FAKTOR VIII 1000 IU FLAKON,8699769980252,B02BD02,coagulation factor vııı
IMMUNATE 500 IU / 375 IU IV INFUZYONLUK TOZ ICEREN FLAKON,8681429550134,B02BD06,von willebrand factor and coagulation factor vııı in combination
IMMUNATE 1000 IU / 750 IU IV INFUZYONLUK TOZ ICEREN FLAKON,8681429550141,B02BD06,von willebrand factor and coagulation factor vııı in combination
PIVERTEL 100 MG FILM KAPLI TABLET (40 TABLET),8699580090703,A03AX04,pinaverium
PIVERTEL 100 MG FILM KAPLI TABLET (80 TABLET),8699580090710,A03AX04,pinaverium
LINTREJAMET 2.5 MG/1000 MG FILM KAPLI TABLET (60 TABLET),8681428091812,A10BD11,metformin and linagliptin
LINTREJAMET 2.5 MG/850 MG FILM KAPLI TABLET (60 TABLET),8681428091805,A10BD11,metformin and linagliptin
"COVERAM 3,5 MG/2,5 MG TABLET (30 TABLET)",8699552091059,C09BB04,perindopril and amlodipine
COVERAM 7 MG/5 MG TABLET (30 TABLET),8699552091066,C09BB04,perindopril and amlodipine
COVERAM 14 MG/10 MG TABLET (30 TABLET),8699552091073,C09BB04,perindopril and amlodipine
GRIPORT COLD 650 MG / 4 MG / 30 MG FILM KAPLI TABLET (20 TABLET),8699680091914,R05X,OTHER COLD PREPARATIONS
LINIGA PLUS 2.5 MG/850 MG FILM KAPLI TABLET (60 ADET),8699293098270,A10BD11,metformin and linagliptin
LINIGA PLUS 2.5 MG/1000 MG FILM KAPLI TABLET (60 ADET),8699293098287,A10BD11,metformin and linagliptin
TRENDIN 250 MG SERT KAPSUL (100 KAPSUL),8699738150068,A16AX12,trientine
"NUCALA 100 MG/ML SC ENJEKSIYONLUK
COZELTI IÇEREN KULLANIMA HAZIR ENJEKTOR (1 ADET)",8699522958542,R03DX09,mepolizumab
OSELMIR 75 MG SERT KAPSUL,8699569150633,J05AH02,oseltamivir 
"D-RISE 15.000 I.U./ML ORAL DAMLA, COZELTI (10 ML)",8699569590118,A11CC05,colecalciferol
LAFILINE 240 MG/10 ML INFUZYON ICIN COZELTI (6 ADET),8680222750123,R03DA05,aminophylline
"PADCEV 20 MG INFUZYONLUK COZELTI HAZIRLAMADA KULLANILACAK
KONSANTRE ICIN TOZ (1 ADET)",8699043890529,L01FX13,enfortumab vedotin
"PADCEV 30 MG INFUZYONLUK COZELTI HAZIRLAMADA KULLANILACAK
KONSANTRE ICIN TOZ (1 ADET)",8699043890536,L01FX13,enfortumab vedotin
LINAZEP 5 MG FILM KAPLI TABLET (30 TABLET),8699569093169,A10BH05,linagliptin
BULSEF 1 GR IM ENJ. COZ. HAZ. ICIN TOZ ICEREN FLAKON,8680080000316,J01DD04,ceftriaxone
ALLERGOVIT 006 A + B BASLANGIC ENJEKSIYONLUK SUSPANSIYON,8697791000832,V01AA,Allergen extracts
ALLERGOVIT 006 B IDAME ENJEKSIYONLUK SUSPANSIYON,8697791000849,V01AA,Allergen extracts
"FOSFAVER 2,4 G + 0,9 G/ 5 ML ORAL COZELTI",8680400771186,A06AD17,sodium phosphate
MSUD GEL 720 G SASE,8690632760797,V06C,INFANT FORMULAS
ATOR 10 MG 90 FILM TABLET,8699536090757,C10AA05,atorvastatin
ATOR 20 MG 90 FILM TABLET,8699536090764,C10AA05,atorvastatin
SUGACENT 200 MG/2 ML IV ENJEKSIYONLUK COZELTI (10 FLAKON),8681735980656,V03AB35,sugammadex
HEPA-TAF 25 MG FiLM KAPLI TABLET,8699580090796,J05AF13,tenofovir alafenamide
FOLAS 5 MG TABLET (50 ADET),8699591010387,B03BB01,folic acid
DROPOLEV-S 30 MG/5 ML SURUP,8699591570621,R05DB27,levodropropizine
LEDASON 40 MG FILM KAPLI TABLET (30 ADET),8699536093611,N05AE05,lurasidone
THRODUCE 0.5 MG SERT KAPSUL (100 KAPSUL),8681697150012,L01XX35,anagrelide
LIZERA 5 MG FILM KAPLI TABLET (30 TABLET),8699514095712,A10BH05,linagliptin
COLDAWAY C 200 MG/30 MG/300 MG FİLM TABLET (30 TABLET),8699514094357,M01AE51,"ibuprofen, combinations"
FOSTIMON 150 IU IM/SC ENJ. ICIN LIYOFILIZE TOZ ICEREN 1 FLAKON,8680426040020,G03GA04,urofollitropin
MORESERC 16 MG 30 TABLET,8680008010038,N07CA01,betahistine
DARZALEX 1800 MG SC ENJEKSIYONLUK COZELTI,8699593775154,L01FC01,daratumumab
"PULBIEN 0,25 MG/ML NEBULIZASYON SUSPANSIYONU (20 ADET)",8699606527121,R03BA02,budesonide
"PULBIEN 0,5 MG/ML NEBULIZASYON SUSPANSIYONU (20 ADET)",8699606527138,R03BA02,budesonide
MORESERC 24 MG TABLET (60 TABLET),8680008000008,N07CA01,betahistine
GLIVIDIN 50 MG TABLET (56 TABLET),8680008010182,A10BH02,vildagliptin
TALDEROL 90 MG FILM KAPLI TABLET (56 TABLET),8699527090995,B01AC24,ticagrelor
"ETOVER 100 MG/ML SPREY, COZELTI (50 ML)",8681085010607,M02AA06,etofenamate
LAUDAZOL 500 MG/3 ML INFUZYON COZELTISI 1 AMPUL,8681085010645,J01XD03,ornidazole
AZYTER 15 MG/G TEK DOZLUK GOZ DAMLASI 6 FLAKON,8680177220054,S01AA26,azithromycin
IMAFEN 400 MG FILM KAPLI TABLET (30 TABLET),8684201364073,L01EA01,imatinib
"IZOTONIK SODYUM KLORUR %0,9 SIBU PHARM ENJEKSIYONLUK COZELTI (10 AMPUL)",8684055798802,B05XA03,sodium chloride
LEDASON 20 MG FILM KAPLI TABLET (30 ADET),8699536093604,N05AE05,lurasidone
LEDASON 80 MG FILM KAPLI TABLET (30 ADET),8699536093635,N05AE05,lurasidone
MEDISAL 20 MG/2 ML ENJEKSIYONLUK/INFUZYONLUK COZELTI (5 AMPUL),8684055798826,C03CA01,furosemide
"POTASYUM KLORUR %7,5 SIBU PHARM ENJEKSIYONLUK COZELTI (10 AMPUL) ",8684055798857,B05XA01,potassium chloride
"TRAVICA %1 + %0,1 KREM",8680771491065,D01AC20,imidazoles/triazoles in combination with corticosteroids
"FENOFRIN % 2.5 GOZ DAMLASI, COZELTI",8699844613006,S01FB01,phenylephrine
"GLEDIS 0,5 MG SERT KAPSUL (28 KAPSUL)",8699514150978,L04AE01,fingolimod
SEDORAL 1G/2 ML ENJEKSIYONLUK COZELTI (10 AMPUL),8684055798864,N02BB02,metamizole sodium
"THERMO GESIC %1 + %0,025 JEL (50 GR)",8684083167434,M02AA26,nimesulide
ZINC-BEG 15 MG/5 ML PEDIYATRIK SURUP (100 ML),8683801681009,A12CB01,zinc sulfate
AIRTIDE 100 MCG/50 MCG INHALASYON ICIN TOZ ICEREN KAPSUL,8680760150294,R03AK06,salmeterol and fluticasone
AIRTIDE 250 MCG/50 MCG INHALASYON ICIN TOZ ICEREN KAPSUL,8680760150287,R03AK06,salmeterol and fluticasone
AIRTIDE 500 MCG/50 MCG INHALASYON ICIN TOZ ICEREN KAPSUL,8680760150270,R03AK06,salmeterol and fluticasone
ANDOREX %0.15+%0.12 GARGARA (200 ML),8680760640023,A01AD11,various
"ANDOREX %0.15+%0.12 SPREY, COZELTI (30 ML)",8680760510036,A01AD11,various
"CODACTIV 7,5 MG/5 ML SURUP 100 ML",8680760570023,R05DB13,butamirate
"CODACTIV FORT 22,5 MG/ 5 ML SURUP 100 ML",8680760570092,R05DB13,butamirate
DEXTROCIN %2 15 G KREM,8680760350069,D06AX09,mupirocin
DEXTROCIN %2 15 G POMAD,8680760380011,D06AX09,mupirocin
ETOTAC SR 600 MG UZATILMIS SALIMLI FILM KAPLI TABLET (10 UZATILMIS SALIMLI FILM KAPLI TABLET),8680760091832,M01AB08,etodolac
IBUACTIVE KREM %5 50 GR KREM,8680760350021,M02AA13,ibuprofen
IBUCOLD 200 MG/30 MG FILM KAPLI TABLET (30 FILM KAPLI TABLET),8680760092136,M01AE51,"ibuprofen, combinations"
IBUCOLD C 200 MG/30 MG/300 MG FILM KAPLI TABLET (30 FILM KAPLI TABLET),8680760092235,M01AE51,"ibuprofen, combinations"
IBUCOLD PLUS 100 MG+15 MG+1 MG/5 ML SURUP,8680760570085,M01AE51,"ibuprofen, combinations"
MASITERA 10 MG FILM KAPLI TABLET,8680760092440,C02KX04,macitentan
MINOXIL %2 DERI SPREYI,8680760510081,D11AX01,minoxidil
MINOXIL FORTE %5 DERI SPREYI,8680760510098,D11AX01,minoxidil
NIMOKAIN %1+%5 JEL  50 G,8680760340053,M02AA26,nimesulide
NOSPAZM 40 MG FILM KAPLI TABLET (30 FILM KAPLI TABLET),8680760090569,A03AB06,otilonium bromide
PANTACTIVE 40 MG 28 ENTERIK KAPLI TABLET,8680760040021,A02BC02,pantoprazole
TRACTAN 125 MG FILM KAPLI TABLET (56 FILM KAPLI TABLET),8680760091177,C02KX01,bosentan
"TRACTAN 62,5 MG FILM KAPLI TABLET (56 FILM KAPLI TABLET)",8680760091184,C02KX01,bosentan
TRUVENT 200 MG / 245 MG FILM KAPLI TABLET (30 TABLET),8680760092297,J05AR03,tenofovir disoproxil and emtricitabine
URSACTIVE 250 MG 100 KAPSUL,8680760150096,A05AA02,ursodeoxycholic acid
URSACTIVE 500 MG 60  FILM KAPLI TABLET,8680760092242,A05AA02,ursodeoxycholic acid
"% 0,9 SODYUM KLORUR SOLUSYONU 1000 ML(SETLI)",8699508690046,B05XA03,sodium chloride
"% 0,9 SODYUM KLORUR SOLUSYONU 500 ML(SETLI)",8699508690039,B05XA03,sodium chloride
% 10 DEKSTROZ SOLUSYONU 500 ML(SETLI),8699508690596,B05BA03,carbohydrates
% 5 DEKSTROZ LAKTATLI RINGER SOLUSYONU 1000 ML(SETLI),8699508690206,B05BB02,electrolytes with carbohydrates
% 5 DEKSTROZ LAKTATLI RINGER SOLUSYONU 500 ML(SETLI),8699508690190,B05BB02,electrolytes with carbohydrates
% 5 DEKSTROZ SOLUSYONU 1000 ML(SETLI),8699508690022,B05BA03,carbohydrates
% 5 DEKSTROZ SOLUSYONU 500 ML(SETLI),8699508690015,B05BA03,carbohydrates
"%0,9 IZOTONIK 1000 ML SOLUSYON(SETLI)",8699606690412,B05XA03,sodium chloride
"%0,9 IZOTONIK 500 ML SOLUSYON(SETLI)",8699606690399,B05XA03,sodium chloride
"%0,9 IZOTONIK 500 ML SOLUSYON(SETSIZ)",8699606690405,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETLI)",8699606690375,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETSIZ)",8699606690382,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETLI)",8699525690111,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETSIZ)",8699525698674,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETLI)",8699525690104,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETSIZ)",8699525698667,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETLI)",8699525690074,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETSIZ)",8699525698636,B05XA03,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR ICEREN IRRIGASYON SOLUSYONU 1000 ML (POLIPROPILEN SISE)",8699788681017,B05CB01,sodium chloride
"%0,9 IZOTONIK SODYUM KLORUR ICEREN IRRIGASYON SOLUSYONU 500 ML (POLIPROPILEN SISE)",8699788685015,B05CB01,sodium chloride
"%0,9 NACL IE 1000 ML SOLUSYON(SETSIZ)",8699508690282,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR 10 ML 10 AMPUL",8699788750973,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR IE 500 ML SOLUSYON(SETSIZ)",8699508690275,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR PVC 100 ML SOLUSYON",8699535690125,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR PVC 150 ML SOLUSYON",8699535690170,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR PVC 250 ML SOLUSYON",8699535690187,B05XA03,sodium chloride
"%0,9 SODYUM KLORUR PVC 3000 ML SOLUSYON",8699535690163,B05XA03,sodium chloride
%09 IZOTONIK 1000 ML SOLUSYON,8699606690429,B05XA03,sodium chloride
%09 SODYUM KLORUR 1000 ML SOLUSYON SETSIZ,8699788690804,B05XA03,sodium chloride
%09 SODYUM KLORUR 500 ML SOLUSYON SETSIZ,8699788690200,B05XA03,sodium chloride
%1.5 GLISIN COZELTISI 3000 ML (SETSIZ-MEDIFLEKS),8699828691198,B05CX03,glycine
%10 DEKSTROZ 1000 ML SOLUSYON(SETLI),8699606690276,B05BA03,carbohydrates
%10 DEKSTROZ 1000 ML SOLUSYON(SETSIZ),8699606690283,B05BA03,carbohydrates
%10 DEKSTROZ 500 ML SOLUSYON,8699508690602,B05BA03,carbohydrates
%10 DEKSTROZ SOLUSYONU 500 ML SETLI (CAM SISE),8699606690252,B05BA03,carbohydrates
%10 DEKSTROZ SOLUSYONU 500 ML SETSIZ (CAM SISE),8699606690269,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI),8699606690238,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ),8699606690245,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI COZELTISI 150 ML (MEDIFLEKS-SETLI),8699828690375,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI COZELTISI 150 ML (MEDIFLEKS-SETSIZ),8699828690382,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETLI),8699828690399,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETSIZ),8699828690405,B05BA03,carbohydrates
%10 DEKSTROZ SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,8699788695021,B05BA03,carbohydrates
"%17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE",8699788695038,B05BA03,carbohydrates
%20 DEKS SOL TORBA PVC 500 ML(SETLI),8699828690412,B05BA03,carbohydrates
%20 DEKS SOL TORBA PVC 500 ML(SETSIZ),8699828690429,B05BA03,carbohydrates
%20 DEKSTROZ 500 ML SOLUSYON(SETLI),8699606690313,B05BA03,carbohydrates
%20 DEKSTROZ 500 ML SOLUSYON(SETSIZ),8699606690320,B05BA03,carbohydrates
%20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,8699788695045,B05BA03,carbohydrates
%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI),8699606690290,B05BA03,carbohydrates
%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ),8699606690306,B05BA03,carbohydrates
%20 MANNITOL SUDAKI COZELTISI  100 ML (SETLI-MEDIFLEKS),8699828690436,B05BC01,mannitol
%20 MANNITOL SUDAKI COZELTISI  100 ML (SETSIZ-MEDIFLEKS),8699828690443,B05BC01,mannitol
%20 MANNITOL SUDAKI COZELTISI 150 ML (SETLI-MEDIFLEKS),8699828690450,B05BC01,mannitol
%20 MANNITOL SUDAKI COZELTISI 150 ML (SETSIZ-MEDIFLEKS),8699828690467,B05BC01,mannitol
%20 MANNITOL SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS),8699828690474,B05BC01,mannitol
%20 MANNITOL SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS),8699828690481,B05BC01,mannitol
%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETLI,8699606693017,B05BC01,mannitol
%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETSIZ,8699606693024,B05BC01,mannitol
%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETLI,8699606692997,B05BC01,mannitol
%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETSIZ,8699606693000,B05BC01,mannitol
%20 SODYUM KLORUR COZELTISI ICEREN 10 AMPUL,8680202600301,B05XA03,sodium chloride
%3 SODYUM KLORUR COZELTISI 150 ML (SETLI) ,8699828690498,B05XA03,sodium chloride
%3 SODYUM KLORUR COZELTISI 150 ML (SETSIZ),8699828690504,B05XA03,sodium chloride
%3 SODYUM KLORUR COZELTISI 250 ML (SETLI-MEDIFLEKS),8699828690511,B05XA03,sodium chloride
%3 SODYUM KLORUR COZELTISI 250 ML (SETSIZ-MEDIFLEKS),8699828690528,B05XA03,sodium chloride
%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETLI),8699606693055,B05XA03,sodium chloride
%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETSIZ),8699606693062,B05XA03,sodium chloride
%3 SODYUM KLORUR SOLUSYON 500 ML CAM(SETLI),8699606693031,B05XA03,sodium chloride
%3 SODYUM KLORUR SOLUSYON 500 ML CAM(SETSIZ),8699606693048,B05XA03,sodium chloride
%30 DEKSTROZ 500 ML SOL. SETLI,8699606690351,B05BA03,carbohydrates
%30 DEKSTROZ 500 ML SOLUSYON,8699606690368,B05BA03,carbohydrates
%30 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE,8699788695052,B05BA03,carbohydrates
%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS),8699828690535,B05BA03,carbohydrates
%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS),8699828690542,B05BA03,carbohydrates
%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SETSIZ,8699606690344,B05BA03,carbohydrates
%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SOLUSYON(SETLI),8699606690337,B05BA03,carbohydrates
%5 DEKSTROZ  SUDAKI COZELTISI 50 ML (SETLI),8699828690719,B05BA03,carbohydrates
"%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYON 500 ML SETLI SISE",8699788695120,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",8699788690125,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR %0,3 POTASYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",8699788690132,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON 1000 ML SETLI",8699788691047,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON 500 ML SETLI",8699788695113,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETLI (CAM SISE)",8699606692652,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ (CAM SISE)",8699606692669,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ SISE",8699788690743,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETLI (CAM SISE)",8699606692638,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ (CAM SISE)",8699606692645,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",8699788690118,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON 1000 ML SETLI",8699788691030,B05BB02,electrolytes with carbohydrates
"%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON 500 ML SETLI",8699788695106,B05BB02,electrolytes with carbohydrates
%5 DEKSTROZ %02 NACL PVC 250 ML(SETLI),8699828690597,B05BB02,electrolytes with carbohydrates
%5 DEKSTROZ %02 NACL PVC 250 ML(SETSIZ),8699828690603,B05BB02,electrolytes with carbohydrates
%5 DEKSTROZ %02 NACL PVC 500 ML(SETLI),8699828690610,B05BB02,electrolytes with carbohydrates
%5 DEKSTROZ %02 NACL PVC 500 ML(SETSIZ),8699828690627,B05BB02,electrolytes with carbohydrates
%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETLI),8699828690658,B05BB02,electrolytes with carbohydrates
